X1;X2;X3;X4
-0.33;0.47;1.73;11.59
1.23;1.39;0.57;7.98
-0.29;2.74;0.66;0.19
-0.02;-0.62;0.51;0.06
1.57;-1.53;0.17;0.27
-0.54;3.54;-0.85;24.26
1.65;-0.12;0.78;2.04
-0.23;2.17;-1.28;3.97
1.42;0.26;1.64;3.01
-0.40;2.22;-0.57;0.23
1.93;-0.60;-0.72;2.71
0.36;0.80;-1.25;0.22
1.40;0.20;1.32;3.58
-0.79;0.50;0.13;4.35
0.67;0.20;-0.99;2.19
-2.27;-0.40;-0.44;7.21
1.47;-0.31;-0.94;6.15
-0.18;0.21;-0.39;2.60
-1.46;1.64;0.61;0.23
0.69;0.44;0.97;13.56
1.93;-0.42;-0.74;3.10
0.19;1.41;1.08;2.54
-0.38;0.25;-1.76;4.21
-0.79;-1.56;-1.36;1.45
0.65;1.71;-1.20;4.71
-0.96;0.11;2.14;0.11
-0.19;1.31;-2.18;8.16
0.01;1.25;0.81;1.02
0.68;0.90;-0.33;7.03
0.87;0.11;0.04;7.40
3.37;0.80;1.66;6.50
0.07;-0.71;-0.15;6.79
1.01;-0.21;-0.78;7.00
-0.38;2.70;0.09;8.06
1.02;2.26;-0.84;15.80
-0.67;0.16;-0.36;2.00
2.47;-0.51;-2.20;0.47
1.78;1.76;0.46;3.26
1.28;0.70;0.20;0.39
-1.44;-1.19;-0.68;0.88
0.95;1.49;-1.93;0.21
-0.55;-0.26;-0.03;23.51
-0.27;1.14;1.00;3.54
1.73;1.92;0.55;9.24
0.52;2.04;1.29;12.83
1.49;0.77;0.63;0.38
0.63;1.10;0.88;3.38
0.11;-0.09;-0.75;0.60
0.93;-0.41;0.88;6.21
-1.67;1.67;-0.39;1.64
2.24;0.56;-2.09;2.35
-0.74;2.30;-1.80;15.71
2.01;2.34;-1.64;4.71
0.78;1.35;-0.56;1.09
-1.07;-0.08;0.76;4.69
0.18;-0.52;1.15;7.47
1.30;0.95;-0.14;2.77
-0.95;1.43;0.56;2.07
1.85;1.74;-1.44;1.40
1.80;0.99;-1.21;14.36
1.91;2.13;0.52;1.97
-0.13;2.27;-0.94;3.61
0.30;2.01;-1.14;6.84
1.08;2.79;-0.13;1.06
0.97;1.36;-1.22;6.98
1.28;-0.88;1.10;0.03
-0.09;1.38;1.25;1.27
1.82;0.14;-1.06;3.45
2.62;-0.21;-0.05;18.47
-0.73;1.83;-0.97;2.41
0.45;0.05;0.36;0.02
0.30;2.13;-0.47;0.73
1.78;1.99;-0.34;1.51
3.69;-1.03;-2.16;0.49
0.22;0.11;-1.63;5.69
-0.08;0.96;1.23;13.80
-0.39;0.42;1.84;4.32
-1.93;0.31;2.62;0.56
-1.60;2.62;1.55;2.79
-0.37;2.03;-0.40;1.57
2.07;-1.06;0.27;2.47
-0.59;1.11;-0.40;1.88
-1.45;0.96;-0.55;2.55
-0.30;1.33;1.61;2.16
2.43;0.16;-2.03;2.65
1.72;1.37;0.55;10.85
-0.09;0.44;1.31;2.67
2.42;0.92;-0.25;4.09
-0.73;0.73;-0.65;0.04
0.35;1.60;-0.86;21.17
0.93;0.15;1.31;0.80
-0.22;0.11;1.02;4.37
0.91;-0.15;0.07;0.70
0.25;-1.06;-0.96;8.97
2.08;0.24;-0.60;1.09
0.10;-0.80;1.40;13.35
1.62;1.54;-0.41;2.95
2.85;1.28;0.32;0.71
0.54;3.55;0.28;10.42
-0.30;0.07;-0.34;1.13
1.44;-0.02;0.89;3.91
0.01;1.21;-0.96;2.78
